OSPA,cardinality_error,discovery_rate,episode_reward,episodes,estimated_count,estimated_peak_count,failure_count,fairness,max_observation_gap,mean_discovery_rate,mean_episode_reward,mean_first_detection_time,mean_maintenance_node_count,mean_observation_gap,mean_reward,mean_search_node_count,mean_selected_maintenance_rate,mean_selected_search_rate,mean_selected_target_rate,mean_target_node_count,mean_valid_candidates,miss_violation_rate,mode,observation_rate,overlap_penalty,replay_size,seed,steps,true_target_count
25.0,0.5734703540802002,0.10000000149011612,1.9427399635314941,2,5.573470115661621,0.0,,0.5,0.5,,,0.0,,0.0,0.38854798674583435,,,,,,,0.0,random,0.07999999821186066,0.014483279548585415,,900,5.0,5.0
25.0,0.6193890571594238,0.20000000298023224,3.429666042327881,2,5.619389057159424,0.0,,1.0,0.0,,,1.5,,0.0,0.6859331727027893,,,,,,,0.0,heuristic,0.14000000059604645,0.002393825678154826,,900,5.0,5.0
,,,,2,,,0,,,0.0,-0.2871395776691227,,5.4,,,10.9,0.2,0.39999999999999997,0.03333333333333333,0.6,8.0,,rollout_stability,,,10,,5,
