OSPA,cardinality_error,discovery_rate,episode_index,episode_reward,episodes,estimated_count,estimated_peak_count,failure_count,fairness,max_observation_gap,mean_discovery_rate,mean_episode_reward,mean_first_detection_time,mean_maintenance_node_count,mean_observation_gap,mean_reward,mean_search_node_count,mean_selected_maintenance_rate,mean_selected_search_rate,mean_selected_target_rate,mean_target_node_count,mean_valid_candidates,miss_violation_rate,mode,observation_rate,overlap_penalty,replay_size,seed,steps,true_target_count
25.0,4.76837158203125e-07,0.20000000298023224,0.0,4.174956798553467,1,4.999999523162842,0.0,,1.0,1.0,,,0.0,,0.0,0.8349913358688354,,,,,,,0.0,random,0.1599999964237213,0.0,,900,5.0,5.0
25.0,0.7944726943969727,0.20000000298023224,0.0,5.083524227142334,1,5.794472694396973,0.0,,1.0,0.0,,,0.0,,0.0,1.016704797744751,,,,,,,0.0,heuristic,0.20000000298023224,0.0,,900,5.0,5.0
,,,,,1,,,0,,,0.16666666666666666,0.5721791514140862,,6.8,,,10.4,0.26666666666666666,0.6,0.0,0.0,8.066666666666666,,rollout_stability,,,5,,5,
