OSPA,cardinality_error,coverage_age_mean,discovery_rate,episode_index,episode_reward,estimated_count,estimated_peak_count,fairness,local_node_count,maintenance_node_count,max_observation_gap,mean_first_detection_time,mean_observation_gap,mean_reward,miss_violation_rate,n_targets,observation_rate,overlap_penalty,search_belief_mean,search_node_count,seed,selected_local_rate,selected_maintenance_rate,selected_search_rate,selected_target_rate,steps,switch_rate,target_estimated_count,target_node_count,track_count,true_target_count,valid_candidates_mean
20.90941825012366,1.0,30.211614656448365,0.5,0,26.662672534675092,7.0,1.0,0.3962439545725197,24.0,11.066666666666666,17.0,31.333333333333332,2.0,0.4443778755779182,0.0,6.0,0.11944444444444445,0.07761306047122928,0.7660895536343256,10.216666666666667,1900.0,0.9888888888888889,0.5,0.4,0.09444444444444443,60,0.5111111223697662,6.158244061470032,1.3166666666666667,20.233333333333334,6.0,8.044444444444444
25.0,2.0,26.808656311035158,0.0,1,-4.496807070870672,6.0,2.0,0.0,24.0,9.583333333333334,0.0,nan,0.0,-0.07494678451451121,0.0,4.0,0.0,0.0503429023944894,0.7122580915689468,12.083333333333334,1901.0,1.0,0.26666666666666666,0.5666666666666667,0.06666666666666667,60,0.5166666775941848,5.611329197883606,1.3333333333333333,20.633333333333333,4.0,8.005555555555556
23.79457893371582,1.0,24.803333282470703,1.0,2,19.596954375976452,6.0,1.0,0.5684905821803535,24.0,10.45,32.0,16.6,14.4,0.3266159062662742,0.8,5.0,0.15333333333333332,0.00042583485503423096,0.6725803434848785,10.95,1902.0,1.0,0.3722222222222221,0.44999999999999996,0.03333333333333333,60,0.5166666775941848,5.895765916506449,1.0,23.033333333333335,5.0,8.027777777777779
24.261079788208008,0.3894767761230469,27.91493755976359,0.3333333333333333,3,17.18318830793205,6.389476776123047,1.0,0.8000000002000001,24.0,10.5,15.0,29.5,6.5,0.2863864717988675,0.5,6.0,0.05555555555555555,0.05756349572104734,0.722138649225235,10.183333333333334,1903.0,0.9944444444444444,0.4722222222222222,0.4444444444444444,0.03888888888888888,60,0.4777777880430222,5.71745023727417,0.75,18.4,6.0,8.05
25.0,0.0,28.914999874432883,0.4,4,9.321020252688939,5.0,2.0,0.5714285726530612,24.0,9.466666666666667,50.0,24.0,31.0,0.15535033754481564,1.0,5.0,0.023333333333333334,0.00644556589553036,0.7384148567914963,9.6,1904.0,1.0,0.41111111111111115,0.38333333333333325,0.027777777777777776,60,0.5000000129143397,5.919017855326334,0.9333333333333333,19.366666666666667,5.0,8.03888888888889
21.046336432298023,1.0,25.308937430381775,0.6666666666666666,5,31.874127941413693,5.0,1.0,0.5812120791761122,24.0,11.533333333333333,22.0,13.5,5.75,0.5312354656902282,0.25,6.0,0.19166666666666668,0.025064355307232663,0.6550965776046117,11.866666666666667,1905.0,0.9888888888888888,0.5222222222222223,0.5055555555555555,0.03888888888888888,60,0.4833333472410838,6.1336040735244755,1.1166666666666667,25.65,6.0,8.08888888888889
25.0,1.6761751174926758,24.55698952674866,0.75,6,31.2641755041222,5.676175117492676,0.0,0.3038776959695847,24.0,9.766666666666667,34.0,22.333333333333332,0.0,0.52106959173537,0.0,4.0,0.17916666666666667,0.0,0.6553525567054749,13.55,1906.0,1.0,0.3611111111111111,0.5722222222222222,0.04444444444444444,60,0.4722222333153089,5.835838262240092,0.8166666666666667,21.033333333333335,4.0,8.044444444444444
21.532101707799093,1.037886619567871,27.049333357810973,0.42857142857142855,7,33.566096752537106,5.962113380432129,2.0,0.6132384618693727,24.0,10.6,17.0,17.666666666666668,8.333333333333334,0.5594349458756185,0.3333333333333333,7.0,0.1357142857142857,0.021804844013553815,0.7086214919885,12.333333333333334,1907.0,0.9944444444444444,0.4888888888888889,0.5055555555555555,0.04444444444444444,60,0.4555555661519369,5.864128041267395,1.45,19.85,7.0,8.044444444444444
25.0,1.8259344100952148,26.172156190872194,0.5,8,8.741695131790483,5.825934410095215,0.0,0.2857142867346939,24.0,12.25,34.0,23.0,28.5,0.1456949188631747,1.0,4.0,0.058333333333333334,0.06709986843335468,0.6830387781063716,11.216666666666667,1908.0,1.0,0.5,0.4666666666666667,0.027777777777777776,60,0.5666666775941849,5.871148077646891,0.75,17.75,4.0,8.027777777777779
25.0,1.0000004768371582,29.150333205858868,0.2,9,15.677061214641627,6.000000476837158,0.0,1.0,24.0,11.4,5.0,35.0,0.0,0.26128435357736046,0.0,5.0,0.056666666666666664,0.11421765369101669,0.7390735387802124,10.483333333333333,1909.0,1.0,0.5055555555555555,0.3944444444444445,0.061111111111111116,60,0.4888889009753863,5.663607533772787,1.0,18.8,5.0,8.033333333333333
19.417122960090637,1.8939604759216309,27.515739679336548,0.5,10,25.482492342892943,5.893960475921631,1.0,0.880000000096,24.0,10.866666666666667,11.0,32.5,5.5,0.4247082057148824,0.5,4.0,0.10416666666666667,0.025019528682745203,0.713674721121788,10.15,1910.0,0.9944444444444444,0.4666666666666667,0.4,0.03333333333333333,60,0.5166666785875956,5.722516544659933,0.6,18.2,4.0,8.061111111111112
