OSPA,cardinality_error,discovery_rate,episode_index,episode_reward,estimated_count,estimated_peak_count,fairness,max_observation_gap,mean_first_detection_time,mean_observation_gap,mean_reward,miss_violation_rate,mode,observation_rate,overlap_penalty,steps,true_target_count
25.0,1.7342767715454102,1.0,0,39.78366249880178,6.73427677154541,0.0,0.4870560855217101,39.0,13.0,7.8,0.6630610416466963,0.2,heuristic,0.33666666666666667,0.02683236989509518,60,5.0
23.614600372314452,0.0,0.8,1,11.743127270669198,5.0,1.0,0.3521164568481706,37.0,10.5,23.75,0.19571878784448665,0.75,heuristic,0.12,0.0018067398181934055,60,5.0
20.239885020256043,1.0000004768371582,1.0,2,13.214966223413375,6.000000476837158,1.0,0.5490530370437682,41.0,7.0,25.4,0.2202494370568896,0.8,heuristic,0.14333333333333334,0.0039541640556348834,60,5.0
25.0,1.0,1.0,3,14.2272207589255,6.0,0.0,0.6061700362171794,48.0,14.4,28.4,0.23712034598209167,0.8,heuristic,0.11666666666666667,0.012279957761499177,60,5.0
20.219768357276916,3.1393489837646484,1.0,4,3.457863302199223,8.139348983764648,1.0,0.6687993400380117,54.0,4.8,20.4,0.057631055036653715,0.4,heuristic,0.09333333333333334,0.005025660396946134,60,5.0
25.0,0.5275659561157227,1.0,5,24.831860361025477,5.527565956115723,0.0,0.3712181940549595,54.0,9.4,20.2,0.4138643393504246,0.8,heuristic,0.27,0.1534028739157198,60,5.0
25.0,1.3172550201416016,1.0,6,23.279950641072592,6.317255020141602,0.0,0.4034949054508976,38.0,14.6,19.2,0.38799917735120987,0.8,heuristic,0.20333333333333334,0.0034691148205577916,60,5.0
24.041210556030272,0.0,1.0,7,20.61427737283786,5.0,1.0,0.5889683042487529,40.0,20.2,24.2,0.3435712895472977,0.6,heuristic,0.13666666666666666,0.0403933720066327,60,5.0
25.0,2.3273444175720215,1.0,8,8.060977703012018,7.3273444175720215,0.0,0.5390227777115773,51.0,11.4,23.0,0.13434962838353362,0.6,heuristic,0.13333333333333333,0.006333802467174785,60,5.0
25.0,0.4937896728515625,1.0,9,6.015672435019024,5.4937896728515625,0.0,0.32758919637252604,41.0,16.6,16.8,0.10026120725031706,0.6,heuristic,0.14333333333333334,0.04121161206784273,60,5.0
25.0,1.0000004768371582,1.0,10,0.7878243100922948,6.000000476837158,0.0,0.3254052152752136,57.0,4.2,28.8,0.013130405168204913,0.8,heuristic,0.10666666666666667,0.0018790403529630813,60,5.0
25.0,1.0,0.8,11,17.948467986112167,6.0,0.0,0.4066442842817539,54.0,8.0,20.75,0.29914113310186946,0.75,heuristic,0.17333333333333334,0.0015954004668203247,60,5.0
25.0,1.0,1.0,12,38.054031924089465,6.0,0.0,0.42880921925787474,30.0,12.4,3.0,0.6342338654014911,0.0,heuristic,0.37666666666666665,0.017164653652071055,60,5.0
23.750042343139647,0.0,1.0,13,25.45508668656697,5.0,1.0,0.5535731672257722,37.0,9.8,6.8,0.42425144477611615,0.2,heuristic,0.2866666666666667,0.03460672269678306,60,5.0
25.0,0.0,1.0,14,22.22168432859867,5.0,0.0,0.52810519914418,27.0,13.6,12.0,0.3703614054766445,0.4,heuristic,0.20666666666666667,0.0774817746782006,60,5.0
24.51954879760742,4.76837158203125e-07,0.6,15,18.71634189729762,5.000000476837158,1.0,0.7323708830818494,42.0,8.666666666666666,10.333333333333334,0.311939031621627,0.6666666666666666,heuristic,0.11,0.0052348926537240156,60,5.0
20.04673703312874,2.4500436782836914,0.8,16,15.367999749380994,7.450043678283691,1.0,0.04870684011679616,28.0,17.75,11.5,0.2561333291563499,0.5,heuristic,0.14666666666666667,0.0009110731095483444,60,5.0
25.0,1.0,1.0,17,42.987509468296096,6.0,0.0,0.7648614115095937,26.0,8.0,3.2,0.7164584911382683,0.0,heuristic,0.37666666666666665,0.0021868293900509355,60,5.0
25.0,0.9999995231628418,1.0,18,24.37542937550646,5.999999523162842,0.0,0.7365204230360826,37.0,14.6,16.8,0.406257156258441,0.6,heuristic,0.18333333333333332,0.009057820625636526,60,5.0
25.0,0.5444316864013672,0.8,19,14.633175177551307,5.544431686401367,0.0,0.49692304844022905,30.0,9.25,16.0,0.24388625295918845,0.75,heuristic,0.12,0.01325349510175449,60,5.0
